Sector,NumericRating,OAD,OAS,OAS_old,OAS_change,OAS_pct_change,MktVal
AEROSPACE/DEFENSE,9.0,8.402908840571325,161.4486120685538,168.8196283718454,-7.371016303291586,-0.04362929374682082,1515.3704376220703
AUTOMOTIVE,9.0,9.71126047246242,189.52661214319426,224.6567577572776,-35.13014561408338,-0.15641527905005934,4346.1715959599305
BANKING,8.503612282702866,8.496144784862521,191.98021717357057,221.16848825110753,-29.188271077536974,-0.12703286565621105,18192.573505241395
BROKERAGE_ASSETMANAGERS_EXCHANGES,10.0,8.693673133850098,344.1742858886719,381.9910888671875,-37.816802978515625,-0.09899920225143433,378.7168388366699
BUILDING_MATERIALS,10.0,9.352520942687988,356.5445861816406,416.51129150390625,-59.966705322265625,-0.14397376775741577,356.0669860839844
CABLE_SATELLITE,9.0,9.45263957977295,61.928497314453125,77.11039733886719,-15.181900024414062,-0.19688522815704346,144.8873291015625
CHEMICALS,8.940370669308995,9.57842628147785,184.11972891897648,206.49340628802983,-22.373677369053354,-0.10951364656227361,3413.184280395508
ELECTRIC,10.0,6.926270961761475,282.9772033691406,328.4519958496094,-45.47479248046875,-0.13845187425613403,809.904052734375
ENVIRONMENTAL,8.0,9.116817004698701,132.13835201434173,158.7245463515005,-26.586194337158748,-0.16875029921296084,1426.5710220336914
FINANCIAL_OTHER,9.0,8.680612564086914,209.37181091308594,244.7192840576172,-35.34747314453125,-0.14444088935852048,466.95938770263683
FOOD_AND_BEVERAGE,9.154412205822616,9.17947175554105,229.5497971545255,235.77708736843675,-6.227290213911293,-0.020380185147400018,1742.0902366638184
HEALTHCARE,9.0,9.129863739013672,118.31599426269531,135.25819396972656,-16.94219970703125,-0.125258207321167,1300.02685546875
HEALTHCARE_REITS,9.0,10.82252311706543,172.72669982910156,189.6313018798828,-16.90460205078125,-0.08914458751678467,314.86106872558594
HEALTH_INSURANCE,8.0,8.602045059204102,177.00790405273438,211.88650512695312,-34.87860107421875,-0.1646098494529724,419.66514587402344
INDEPENDENT,9.63167724021292,9.179268108824978,245.02328629387316,276.2655913909739,-31.242305097100765,-0.11721910879285331,3251.5670776367188
INTEGRATED,8.0,8.902986253988129,170.22670530545724,199.36859197514815,-29.14188666969091,-0.14541646663303032,1257.6323928833008
LEISURE,10.0,8.559168815612793,323.7170104980469,405.73492431640625,-82.01791381835938,-0.2021465301513672,363.375
LIFE,8.487099066091208,9.74219331535341,249.1134021167052,300.9708608218436,-51.85745870513836,-0.16380314761140213,2647.4811782836914
MEDIA_ENTERTAINMENT,8.78278278971316,9.933491446319076,171.64968389830798,180.81120949515392,-9.161525596845959,-0.05065085338659956,3922.9949951171875
METALS_AND_MINING,10.0,8.831905364990234,168.79629516601565,170.8820037841797,-2.0857086181640625,-0.012205541133880615,269.48286056518555
MIDSTREAM,9.842878375298435,8.962360035181604,203.3896906383372,233.5208237428014,-30.131133104464215,-0.1278976603064418,1814.5758159217835
NATURAL_GAS,8.485741318691291,8.807479683794064,205.62356541999213,255.11439104768812,-49.49082562769602,-0.18799520525827068,2361.957019805908
OFFICE_REITS,9.387624888500824,10.877916371698243,175.4193995873254,191.63998797260896,-16.22058838528358,-0.08670994310677156,673.966194152832
OWNED_NO_GUARANTEE,8.68391196767033,8.781715405054056,304.08620146859613,353.66603371344263,-49.579832244846486,-0.16907930759939116,2631.501022338867
P&C,9.023422704320508,8.810550546845725,249.98116306477084,269.3954469963314,-19.414283931560526,-0.06919950379690791,2403.6833909255984
PAPER,9.0,9.169263488879327,254.620291928951,303.24944614850153,-48.62915421955058,-0.14105318255143795,1392.6712455749512
PHARMACEUTICALS,8.0,9.443422317504883,152.152099609375,179.1800079345703,-27.027908325195312,-0.15084218978881836,453.91495513916016
RAILROADS,8.0,9.284553079944796,142.61026503424262,148.54022843449482,-5.929963400252211,-0.04811822181334296,2211.282196044922
RETAILERS,9.142498405056742,9.497559556144903,169.57648389830186,184.77629111210146,-15.199807213799604,-0.08129821400954203,1605.0999450683594
RETAIL_REITS,8.0,9.227546691894531,139.8394012451172,158.66290283203125,-18.823501586914062,-0.11863833665847778,691.984489440918
SOVEREIGN,9.601245431757,5.883593536736142,344.39735006616047,436.5855265899224,-92.18817652376188,-0.2196022683452652,40417.655433240856
SUPERMARKETS,9.0,9.675366369250334,189.13152742089093,208.82494746332702,-19.693420042436117,-0.09284870356315658,1435.1675186157227
TECHNOLOGY,9.0,9.599306106567383,260.415283203125,272.5955810546875,-12.1802978515625,-0.04468268156051636,387.1930847167969
UTILITY_OTHER,8.0,9.420538902282715,256.06610107421875,260.7650146484375,-4.69891357421875,-0.01801973581314087,481.3834228515625
WIRELESS,8.895690053286167,9.37002574662997,218.88902497871263,232.02153757499812,-13.132512596285558,-0.039343731463932864,1847.460454711914
WIRELINES,8.562696668495443,9.684856650970417,198.47588565052845,218.42624345793848,-19.95035780740997,-0.08540006696511585,21221.70568882042
INDEX,9.00755314632557,8.164480679753476,246.3546420545206,292.97573970368904,-46.621097649168554,-0.14300899473886192,128570.78412430067
