Sector,NumericRating,OAD,OAS,OAS_old,OAS_change,OAS_pct_change,MktVal
AEROSPACE/DEFENSE,6.0,14.491671323305138,102.78031672494824,110.37788504224584,-7.5975683172976,-0.0687977868565096,277.92909240722656
AUTOMOTIVE,8.19430990033702,12.454695740659204,314.24163211319114,392.9801109423157,-78.73847882912463,-0.22449862185598782,739.9838165283203
BANKING,7.480391880117279,13.079965355091737,290.06948244348695,341.23762944697216,-51.16814700348521,-0.14773737035772336,478.39061737060547
CHEMICALS,8.110375555610535,16.213231879496558,137.2936981810381,164.76131982337998,-27.46762164234185,-0.16564152967055012,444.3650131225586
CONSTRUCTION_MACHINERY,6.0,13.732866287231445,210.42311096191406,222.99339294433594,-12.570281982421875,-0.056370675563812256,329.1076354980469
FOOD_AND_BEVERAGE,6.608405031772786,14.521596957841906,143.82241584399964,161.90237728470734,-18.07996144070773,-0.12538747390418087,1040.8174018859863
INDEPENDENT,9.0,15.298192024230955,77.0553970336914,114.04840087890625,-36.993003845214844,-0.3243623375892639,199.60352325439453
LIFE,8.684763461457493,11.301063708094999,350.3540265758963,464.2371262990291,-113.88309972313282,-0.24470916924298594,1208.3602180480957
LOCAL_AUTHORITIES,4.220906947871651,12.05935126715989,248.5125593479486,333.3498196717502,-84.83726032380157,-0.25449922162708144,972.3777126312256
MEDIA_ENTERTAINMENT,8.0,13.782825375515216,182.97790553422658,213.22253364981574,-30.244628115589165,-0.1378966753223695,918.9303359985352
OIL_FIELD_SERVICES,8.0,14.960145950317385,191.6416015625,219.7274932861328,-28.085891723632816,-0.1278214454650879,345.6515624192047
P&C,8.55036409621598,12.473045311982773,316.78912281545576,389.3728342117151,-72.58371139625929,-0.18957731131132433,828.5660274610901
PHARMACEUTICALS,6.0,15.827808380126953,152.5887908935547,177.6324920654297,-25.043701171875,-0.14098602533340454,338.4213409423828
RAILROADS,8.0,14.42846965789795,205.3842010498047,233.55670166015625,-28.172500610351562,-0.12062382698059082,426.05445098876953
TECHNOLOGY,5.7205860423342685,15.84216976771774,149.34017466634938,199.81275353254443,-50.47257886619506,-0.23076035074946497,1263.8379402160645
WIRELINES,7.6246640959033485,11.814393426922186,199.29991885480433,231.63178594062106,-32.331867085816725,-0.14209430766718928,851.3973388671875
INDEX,7.1759899850040005,13.553431999941568,220.80666742525835,273.0339625020565,-52.227295076798185,-0.18062981214947438,10663.794027639695
