Sector,NumericRating,OAD,OAS,OAS_old,OAS_change,OAS_pct_change,MktVal
AEROSPACE/DEFENSE,7.8100837849107085,6.801059898110534,128.71514652790734,126.75186578510181,1.9632807428055603,0.06468199695016172,10657.132724761963
AIRLINES,7.6028184923289235,4.482658842016767,257.3973545370358,330.3196302879522,-72.92227575091628,-0.21881502734795438,6872.522480229568
APARTMENT_REITS,7.181002672266499,7.089184567580229,143.12449580953702,151.9990454133489,-8.874549603811884,-0.05544524754947722,4180.088691711426
AUTOMOTIVE,7.19572681186138,6.66558007349411,157.57173024397184,188.2797207091475,-30.707990465175662,-0.1256086452385737,14916.742500305176
BANKING,6.6380986343842405,6.681870205256441,166.55038441038516,205.57933132761818,-39.028946917233036,-0.16794074856973115,186641.62942611933
BROKERAGE_ASSETMANAGERS_EXCHANGES,6.5045089492586605,6.347204697801258,199.44110807660067,253.3980906551183,-53.95698257851761,-0.18355429409851887,14710.540477752686
BUILDING_MATERIALS,8.794604273581218,6.6120355249439156,217.82694276635078,276.64045688791015,-58.81351412155939,-0.20046598028236587,5569.440353393555
CABLE_SATELLITE,8.274131654904593,6.792571894530077,138.5988339244532,163.8401921848415,-25.241358260388278,-0.15443154210824137,20810.03875404915
CHEMICALS,8.576808479559128,6.923431459861029,159.21148572398303,189.468255323744,-30.25676959976094,-0.12717718800664576,27616.26955041504
CONSTRUCTION_MACHINERY,6.0,7.580215565868532,99.35909067251437,98.51699335632303,0.842097316191338,0.03938283398119181,6573.273906707764
CONSUMER_CYCLICAL_SERVICES,9.172008952894254,6.319714368668374,211.161127850719,246.592494481111,-35.431366630392034,-0.08054185693332909,4098.136047868958
CONSUMER_PRODUCTS,6.269095935252934,6.963592364204228,109.74650359765079,120.50659274356033,-10.760089145909552,-0.017787465760087776,9954.522048053741
DIVERSIFIED_MANUFACTURING,6.836425591622979,7.21127221899433,126.49200689253473,140.19600786401222,-13.704000971477486,-0.0763355267571525,39352.34227638458
ELECTRIC,7.336495489855017,6.878137999678359,130.3608271514465,147.463893845422,-17.10306669397547,-0.08360864436882047,47718.403796341765
ENVIRONMENTAL,8.661330515599353,7.107580756699975,141.1476503203756,155.3449760641508,-14.1973257437752,-0.08947924719908928,4821.579120635986
FINANCE_COMPANIES,9.200943412998203,6.347398251516491,265.43613114302633,383.08967185050597,-117.6535407074796,-0.2950642463384899,9077.476440127715
FINANCIAL_OTHER,10.0,5.835237061445291,339.9419001400909,450.5456901445492,-110.60379000445829,-0.23610920645788416,1281.8890113830566
FOOD_AND_BEVERAGE,7.84415832138098,7.015340391271689,130.05522855649372,135.5699634377943,-5.514734881300597,0.009117433358693292,53030.001400159446
GAMING,9.651719975753727,5.320533478592759,192.08095458889926,233.72825847585807,-41.64730388695883,-0.08141021350360964,903.5200491333007
GOVERNMENT_GUARANTEE,1.6442490087295962,7.064668395267798,44.104037973000025,50.81829123854083,-6.714253323839396,-0.4571355348210554,27073.089073181152
HEALTHCARE,8.38403443783843,6.907026649761134,143.7449607091407,149.17301315086445,-5.428052441723747,0.02161938619863923,31514.290882110596
HEALTHCARE_REITS,8.418496540661911,6.941168589017661,167.04574839753417,204.21911454951822,-37.17336615198405,-0.1859890269685229,5761.684841156006
HEALTH_INSURANCE,7.707690303838657,7.340104658649936,133.9069277710028,140.86209399136237,-6.95516622035954,-0.04486359603192886,12390.353950500488
HOME_CONSTRUCTION,8.579389513233084,7.972911457029378,187.31605167888083,227.42467575967268,-40.108624080791834,-0.17221847330238238,1235.5453033447266
INDEPENDENT,8.715024392341185,6.956188511491632,153.73444903490574,178.29927497977118,-24.564826155223333,-0.06483531866067199,24697.854274749756
INDUSTRIAL_OTHER,7.469328515518332,7.142676796348045,196.96904281751148,223.32901746419282,-26.35997464668133,-0.10046503098922831,9630.158401489258
INTEGRATED,6.216135833901109,7.105760424089972,131.18482511811357,147.27883765054162,-16.094012532428046,-0.05407926941368318,23884.648189544678
LEISURE,10.0,7.7832608222961435,268.64617919921875,351.5050048828125,-82.85882568359375,-0.23572587966918945,687.6609916687012
LIFE,7.523759970210384,6.904580132646945,159.23793178431936,205.73617076045065,-46.49823897613131,-0.21163088186926757,16694.718839645386
LOCAL_AUTHORITIES,3.7225073468415077,7.022933371335756,91.35218235472388,91.98322904660482,-0.6310466918809372,-0.005010075954718534,16911.362506866455
LODGING,9.0,5.2948417573650355,168.92079967514326,235.7059696805828,-66.78517000543953,-0.23995866381563696,1199.700511932373
MEDIA_ENTERTAINMENT,8.70645043590815,7.028576830084883,157.01231111901544,170.52580685208036,-13.513495733064923,-0.05219005894153533,24380.558835640866
METALS_AND_MINING,8.851178233047674,6.96250608679382,237.78647076976353,266.0298230889906,-28.243352319227114,-0.04219666788869049,31876.32102584839
MIDSTREAM,9.310543897871142,6.910138233989163,164.79850404055878,180.77908909861168,-15.980585058052903,-0.06922152962543182,32075.26711497345
NATURAL_GAS,7.945552066864314,7.342679049916901,155.68458815763194,179.16569494227505,-23.481106784643114,-0.1144720881124314,5517.103529034424
OFFICE_REITS,8.56944299090363,7.01104897092015,168.41716008455344,199.92152346270828,-31.504363378154846,-0.14557425397357932,4494.314163208008
OIL_FIELD_SERVICES,6.084299470580377,7.460303072099976,95.7807430735421,104.59317032795394,-8.812427254411856,-0.07495747032138186,6331.295211791992
OTHER_REITS,8.946122694469015,7.124229888916751,206.92585487233248,244.21583989025757,-37.28998501792513,-0.14391573193150337,6119.376733644104
