Sector,NumericRating,OAD,OAS,OAS_old,OAS_change,OAS_pct_change,MktVal
AEROSPACE/DEFENSE,6.218739255474393,13.903285773971167,141.80656186688856,161.42301788682198,-19.61645601993342,-0.12289888432877837,3220.1908836364746
BANKING,6.5396249988506625,12.62559651060849,215.8616774078097,282.69750499949197,-66.83582759168225,-0.22436038605801503,35037.269730608976
BROKERAGE_ASSETMANAGERS_EXCHANGES,5.0,12.880986736691112,246.74666371317983,246.87205368325402,-0.12538997007418465,0.000354504633959111,1414.2341613769531
BUILDING_MATERIALS,7.0,14.796395301818848,182.6341094970703,200.70249938964844,-18.068389892578125,-0.09002572298049927,456.6884460449219
CABLE_SATELLITE,7.0,13.00508329871708,164.30606321579074,225.7815384318524,-61.475475216061646,-0.2729526342140857,17663.308511276246
CHEMICALS,6.306756357156173,13.38690292980738,217.70586993200902,293.6813538234022,-75.97548389139318,-0.2389140409637181,2236.421443939209
CONSTRUCTION_MACHINERY,6.000000000000001,13.079952073989073,164.83585264907015,222.77522255069422,-57.93936990162404,-0.2525282790177895,1961.0298651092528
CONSUMER_CYCLICAL_SERVICES,5.0,13.17470187568601,145.4856872090094,199.52576975691986,-54.04008254791049,-0.27197443731755466,3814.0665096839903
CONSUMER_PRODUCTS,5.047516531764928,13.013311022602453,130.19030771426944,169.44840333796355,-39.2580956236941,-0.2312340490785009,7260.550643920898
DIVERSIFIED_MANUFACTURING,6.1271537448697915,13.015200225795022,146.25286168523576,196.50116574469513,-50.24830405945938,-0.2540987490218008,32486.372943878174
ELECTRIC,5.915472774364541,13.05770666587859,166.06431108900253,193.5172235120482,-27.45291242304563,-0.13871613264739746,81028.42656276336
FINANCE_COMPANIES,6.0,13.44924259185791,148.6063995361328,205.31399536132812,-56.70759582519532,-0.27619934082031256,12579.964985172273
FOOD_AND_BEVERAGE,6.578609110571373,13.167522774568289,171.7862218082665,222.14737018616734,-50.36114837790085,-0.23317457171825975,18140.70019589264
GOVERNMENT_GUARANTEE,2.0,12.384503364562988,70.09829711914062,72.44329833984375,-2.345001220703125,-0.032370150089263916,609.538444519043
HEALTHCARE,6.704244258027168,13.63251924662491,150.5183285444707,205.4079603595369,-54.88963181506619,-0.26833989506187994,6587.531692504883
HEALTH_INSURANCE,7.0,13.052546331325852,175.03562551972948,226.5075434349965,-51.47191791526703,-0.22844180823251445,7716.983009338379
INDEPENDENT,7.0,12.516551584589248,239.81382355035834,439.488178041668,-199.6743544913097,-0.45412447485080504,6638.44153137207
INDUSTRIAL_OTHER,3.6074870260264276,13.167058652367443,142.5477876406139,155.40758723462991,-12.859799594016033,-0.09331227442443456,5022.362674560547
INTEGRATED,3.49174203496222,13.446360354619511,173.99686303062956,267.79017158114,-93.79330855051046,-0.3434282041992745,9632.887710571289
