Sector,NumericRating,OAD,OAS,OAS_old,OAS_change,OAS_pct_change,MktVal
AEROSPACE/DEFENSE,6.0,15.276649359719562,96.48897772873748,107.75666179036801,-11.267684061630531,-0.10476404554780265,301.0313529968262
AUTOMOTIVE,6.0,16.335002899169922,162.79710388183594,177.35321044921875,-14.556106567382812,-0.0820741057395935,159.60082969665527
BANKING,7.0,14.099580764770508,267.8086853027344,301.06170654296875,-33.253021240234375,-0.11045253276824951,270.6290054321289
CONSTRUCTION_MACHINERY,6.0,14.667880058288576,182.69180297851562,205.18438720703125,-22.492584228515625,-0.10962134599685669,364.5966339111328
FOOD_AND_BEVERAGE,6.6127483416441635,15.711716405664694,123.17128907213925,176.68837874144222,-53.51708966930301,-0.24781720592845857,1130.5637397766113
LIFE,7.0,6.643351078033447,152.66900634765625,173.85958862304688,-21.190582275390625,-0.1218833327293396,116.9561538696289
LOCAL_AUTHORITIES,4.22063371840983,12.360200344832615,268.99753267803567,247.98519182103638,21.012340856999295,0.08591254174457544,1026.8829273223878
PHARMACEUTICALS,6.0,15.644570350646973,194.9130096435547,169.42440795898438,25.488601684570312,0.15044236183166504,340.6264114379883
TECHNOLOGY,5.0,16.110383987426758,167.70590209960938,191.54930114746094,-23.84339904785156,-0.12447655200958252,1049.689365386963
WIRELINES,7.0,8.200355529785156,271.7173156738281,196.21099853515625,75.50631713867188,0.3848220109939575,312.3630065917969
INDEX,5.707429781023994,14.272463406614996,188.20606754863337,199.4581972967253,-11.252129748091921,-0.055177976381479026,5072.939426422119
