Sector,NumericRating,OAD,OAS,OAS_old,OAS_change,OAS_pct_change,MktVal
AEROSPACE/DEFENSE,9.303202603993418,4.555375416000724,98.46699733073079,152.32511658732605,-53.85811925659526,-0.36143814975716454,12503.519940559236
AIRLINES,9.106438239090034,2.5419290437337803,106.26263201672798,168.73484130584785,-62.47220928911987,-0.36856540075109057,2757.323411768265
APARTMENT_REITS,8.0,4.590735791386616,105.50587261559743,133.23829852999762,-27.732425914400185,-0.2072286530116971,3303.725736226044
AUTOMOTIVE,8.962469967903468,4.156666847523637,163.53197405335618,262.6504462732163,-99.11847203922785,-0.36942727966319044,25889.18008158203
BANKING,8.494161056284998,4.384372315045769,133.6529376415635,216.18832314448497,-82.53538550292144,-0.38115725875559175,151394.88867734338
BROKERAGE_ASSETMANAGERS_EXCHANGES,9.25762230671586,4.104001184001294,151.2508451861825,216.4871009217541,-65.23625573557156,-0.30911535414289465,6768.337155914307
BUILDING_MATERIALS,8.971352294756398,4.62897814631345,127.75828809936854,179.6948894788523,-51.936601379483776,-0.2943748912781396,5690.908435821533
CABLE_SATELLITE,9.640549589556302,4.701454057983105,116.42347508464626,201.10771882334816,-84.6842437387019,-0.4177823711125795,11119.435065085068
CHEMICALS,8.983993595273928,4.504906767244298,120.05863373583271,188.11055741110638,-68.05192367527368,-0.3628187775452345,20632.261474303665
CONSTRUCTION_MACHINERY,10.0,3.379641720006813,129.41181454748974,231.75615424568676,-102.34433969819702,-0.429800486995184,2256.6290130615234
CONSUMER_CYCLICAL_SERVICES,9.097713054910288,4.343049104388392,129.88139073255132,222.01956314697188,-92.13817241442057,-0.42377684659906073,7043.834484100342
CONSUMER_PRODUCTS,9.499441498618129,4.215898073232671,154.83080336602987,173.9722932867455,-19.14148992071564,-0.14152228651262286,3402.4454078674316
DIVERSIFIED_MANUFACTURING,8.553299571211072,4.285612932477485,101.66100844765356,176.87767097844008,-75.21666373686881,-0.40408702904173993,15759.538839366836
ELECTRIC,9.079888832590347,4.226361597484811,102.33638376471187,177.57449947706795,-75.23811571235606,-0.3768728459460897,30334.14111116989
ENVIRONMENTAL,8.429610746001535,4.424844972177742,64.00648128271051,104.35305115261889,-40.34656986990839,-0.38420380983689834,2555.010452270508
FINANCE_COMPANIES,9.168556948281259,4.513453747049363,151.2848090872366,237.54615703391505,-86.2613479466785,-0.35934939704036367,13293.845916290817
FINANCIAL_OTHER,10.0,4.7309017291660815,187.81585902768003,288.0926589182459,-100.27679989056587,-0.32538986929633074,2213.5859756469727
FOOD_AND_BEVERAGE,8.935408042033268,4.1913410864233205,95.28326506399551,165.717453826612,-70.43418876261649,-0.4299849226626596,46949.25975622925
GAMING,10.0,4.150209669932447,130.2232135844925,247.85562752843717,-117.63241828171859,-0.48715200791078545,3347.9274711608887
GOVERNMENT_GUARANTEE,9.0,4.620999813079834,90.7406005859375,149.3509979248047,-58.61039733886718,-0.3924339413642884,1453.476751095886
HEALTHCARE,8.939728206594198,4.537678912601672,99.733765723609,152.1017527222939,-52.367986998684955,-0.34991850697537047,46752.223320981895
HEALTHCARE_REITS,8.288443115507736,4.413937937483822,102.61145654353332,161.58905190495503,-58.9775953614217,-0.3720143220067949,11734.993104934692
HEALTH_INSURANCE,9.0,4.471384467126148,90.00427810200986,142.839649373922,-52.835371271912116,-0.3712214966587899,6236.627819061279
HOME_CONSTRUCTION,9.516989588480406,3.8534578651851716,234.9174747733284,386.5834189135907,-151.66594414026235,-0.3744033660725994,7144.183155136108
INDEPENDENT,9.097536088209896,4.271138711087973,97.78656472866989,198.07995154963143,-100.29338716399232,-0.5034125658565881,14308.55891418457
INDUSTRIAL_OTHER,8.766566235685952,4.065956493009961,124.47768934123279,169.53927380077124,-45.061584459538444,-0.2551724712902458,3833.4674320220947
INTEGRATED,8.929527128133394,4.2980526570029705,130.41909620495267,206.72712091096338,-76.30802470601068,-0.3712038474857477,4575.931015014648
LIFE,8.344802480593673,4.351363617690385,105.94552511445141,159.83827788434914,-53.89275276989773,-0.34202713478045,8034.69439125061
LOCAL_AUTHORITIES,9.0,3.377000093460083,378.7830200195312,509.6690063476562,-130.885986328125,-0.2568058371543884,476.6299819946289
LODGING,9.0,4.640847069112773,101.64165076213882,165.1910468234763,-63.54939606133751,-0.37880732538832895,1395.8593388626098
MEDIA_ENTERTAINMENT,8.91840630345734,4.430557230893823,107.36890454382898,174.1167557405488,-66.74785119671986,-0.3473094352064013,18964.445748169328
METALS_AND_MINING,9.292894748210724,4.13281227935855,149.303277170117,236.73451852031266,-87.43124135019568,-0.3693700374311124,15084.020341652069
MIDSTREAM,9.48707436599691,4.347074777369949,116.23483858973262,197.89025159649728,-81.65541300676473,-0.4153669343864011,51812.68261612442
NATURAL_GAS,8.301664424097913,4.105441960021553,102.48527582658853,149.83709613990354,-47.35182031331502,-0.31154020881224304,3614.7836250305177
OFFICE_REITS,8.821262468676794,4.333490601625824,128.80954494808793,164.8125022814705,-36.00295733338255,-0.24957781621222616,7553.727178573608
OIL_FIELD_SERVICES,8.0,5.211636426821197,96.0071061588789,155.1269024158134,-59.11979625693449,-0.3831773135438155,5522.325031753235
OTHER_REITS,9.250850177528495,4.3667152672317435,151.7358467070091,209.6783744048145,-57.94252769780542,-0.2589585346398785,12420.515615463257
OWNED_NO_GUARANTEE,9.24373946097245,4.3624919692493425,171.6644849900509,248.53191881704038,-76.86743382698944,-0.2992231592244172,60214.78244266259
P&C,8.92463938432125,4.581771058338566,119.04640032581204,169.0754647439963,-50.029064418184305,-0.3037088936214183,8615.150398254395
PAPER,9.46549710484525,4.281469668073503,122.57090218961415,183.31501345028235,-60.74411126066823,-0.32826594341074017,6676.694509506226
PHARMACEUTICALS,8.78966013994236,4.735179976473317,104.2887860996882,161.81421433342373,-57.52542823373553,-0.36208183934918126,44794.26902025703
RAILROADS,8.054890064027521,4.46374324416858,63.28810563202704,102.12087354944602,-38.83276791741898,-0.3789937797424803,8071.325634007035
REFINING,8.777621655267033,4.336331784672997,108.5704549401633,165.7229308383054,-57.15247589814208,-0.3354427671096629,3731.7257863099676
RESTAURANTS,8.0,4.4468350419644205,64.33420145532718,112.96629190569605,-48.632090450368906,-0.43235626911757835,5321.163402557373
RETAILERS,9.29854797936859,4.446339171555151,130.12103731481855,200.7569217243635,-70.63588440954494,-0.35831303196360786,16958.686420440674
RETAIL_REITS,9.33966366330249,4.593426657863799,172.6565186532907,216.28159120196415,-43.62507254867338,-0.2244361898976241,6902.763954162598
SOVEREIGN,9.12666176934938,4.393805587347973,99.43916294191284,163.86547155706975,-64.42630856160682,-0.40187492738223796,65534.581569351496
SUPERMARKETS,9.0,3.954724719305036,80.39968451255284,131.35967073419323,-50.959986221640406,-0.38580491827266106,1139.1559982299805
TECHNOLOGY,9.498783596659893,4.2874223763616035,125.68931889480481,218.41019426956132,-92.72087458313895,-0.4091571170558689,39181.33970336372
TOBACCO,9.0,4.773663827774392,120.75505007603458,205.65992890057314,-84.9048788245386,-0.4094506483047944,13990.180322930602
TRANSPORTATION_SERVICES,8.59995595847884,4.563729619722873,117.88207979183342,155.51626316113337,-37.63418336929992,-0.26140192448055977,11750.576763153076
UTILITY_OTHER,9.0,4.633999824523926,115.0260009765625,122.53700256347656,-7.5110015869140625,-0.06129580736160278,368.9892059326172
WIRELESS,9.191512432098666,4.112760420875044,126.82619253683653,205.33534740482492,-78.5091548679884,-0.3999799118655956,21958.02356764984
WIRELINES,8.411556077567383,4.405430158205922,73.3200779038641,139.0638940870351,-65.74381748702017,-0.47904493024527545,35240.93665281448
INDEX,8.949028826822362,4.381338494702822,120.6978706586614,193.21604513772883,-72.51817452720861,-0.3751256097335746,938585.2891386572
