Sector,NumericRating,OAD,OAS,OAS_old,OAS_change,OAS_pct_change,MktVal
AEROSPACE/DEFENSE,8.469193977452875,16.73006543270834,139.61992942184065,189.92434302050157,-50.30441359866094,-0.2701597560539173,9161.72303442505
AUTOMOTIVE,8.766555437558587,14.971083350462504,248.82239197673812,350.20681917819064,-101.38442720145247,-0.2911531967306331,7337.660509007568
BANKING,8.33299296792485,15.191187871117751,239.7851327629027,315.03477871967897,-75.24964595677625,-0.24265423960636515,22209.55078795059
BROKERAGE_ASSETMANAGERS_EXCHANGES,8.80818402867021,14.054493850916478,330.4143870485137,362.2162841377858,-31.80189708927211,-0.08134327273210364,2804.2127502348326
BUILDING_MATERIALS,8.0,15.430528640747069,226.3053894042969,256.16400146484375,-29.858612060546875,-0.11656051874160767,531.810188293457
CABLE_SATELLITE,9.884879279604814,14.593196359819045,277.53776936776734,406.7103676587554,-129.1725982909881,-0.3181389782308609,7414.802227020264
CHEMICALS,9.033692443542424,14.831128609385507,263.42905422848776,359.9747319393136,-96.54567771082586,-0.2606211064246473,12490.077751159668
CONSUMER_CYCLICAL_SERVICES,8.615462628727615,14.438426768131723,333.1762856971491,379.1576658055933,-45.981380108444135,-0.11857657193956693,876.7466018257142
CONSUMER_PRODUCTS,8.45520031998179,15.109705656131872,234.62082413980895,281.7283595114291,-47.10753537162019,-0.16389000431330542,576.6433792114258
DIVERSIFIED_MANUFACTURING,8.480689737055467,15.674424479649925,192.8144060267029,234.55766230908858,-41.74325628238563,-0.18648945043739398,3596.5593223571777
ELECTRIC,8.483525403048946,15.325885092551964,207.8854715990667,253.34436630027926,-45.45889470121255,-0.16901585983498288,13137.990730004502
ENVIRONMENTAL,8.485228237599735,15.911443825318939,165.57763869117287,204.55844546812565,-38.98080677695279,-0.1956649135528863,1493.953296661377
FINANCE_COMPANIES,9.0,15.251741491246175,269.6215822910788,288.6332080039922,-19.011625712913382,-0.06548405888153998,520.5419311523438
FOOD_AND_BEVERAGE,9.398469003348945,15.833353823551777,181.3100141162883,236.7392628564513,-55.429248740163025,-0.22885922346019796,11942.78564115143
HEALTHCARE,8.887938517092678,15.92426048575258,173.4678700452297,232.38041262142556,-58.912542576195904,-0.2555576117786298,17282.002358068847
HEALTHCARE_REITS,8.0,14.683961676819157,245.85400690594142,264.5576701828054,-18.703663276864003,-0.07067823233469761,1353.1568222045898
HEALTH_INSURANCE,8.846139074207207,15.363137952280912,209.09725394853672,263.7606147412966,-54.66336079275983,-0.20501943693284028,6093.315368652344
INDEPENDENT,9.376038258807819,14.075310716624344,325.4491090218049,558.4491683107807,-233.00005928897573,-0.4078298762158886,10989.429580688477
INDUSTRIAL_OTHER,10.0,12.813357353210447,413.7720031738282,549.3822021484375,-135.61019897460938,-0.24684125185012817,517.5249481201172
INTEGRATED,9.546555060186002,14.662989697093401,322.17632143690327,459.99552887338865,-137.81920743648544,-0.27670759765146935,1603.7395935058594
LIFE,8.200477750187469,15.447218885951438,230.77999599048377,315.5622609805436,-84.78226499005989,-0.2579257635956617,4882.714767456055
MEDIA_ENTERTAINMENT,8.827842515422386,14.813651672162763,254.7235893084815,362.1496494164822,-107.42606010800068,-0.2990620801892794,19860.05425407982
METALS_AND_MINING,9.246981599775122,13.016882095667574,415.77652407238065,645.2131723180461,-229.43664824566548,-0.34974048483256537,10733.484863652191
MIDSTREAM,9.378011105225529,14.07167981199003,343.5628120715151,528.5672408779477,-185.0044288064326,-0.351397341199757,28642.261293790434
NATURAL_GAS,8.552414624664872,15.038305293096098,207.73534460960963,235.06328500063086,-27.327940391021233,-0.11433044792069777,5474.421401977539
OIL_FIELD_SERVICES,8.0,15.140525333981405,257.4651619922328,377.24708116867566,-119.78191917644288,-0.320434778659099,4522.874813079834
OTHER_REITS,9.0,12.56221866607666,426.8466796875,490.7491149902344,-63.902435302734375,-0.13021403551101685,727.6429824829102
OWNED_NO_GUARANTEE,8.632765527825281,12.98326699687154,404.73282811800266,543.3295616803933,-138.5967335623906,-0.24917396253842106,22934.53917912445
P&C,8.393858255550239,15.048578963714204,248.44218022322485,268.8091630446788,-20.36698282145397,-0.07470626135916979,6719.230463224181
PAPER,9.184983658510626,14.701974900678433,259.45220653531135,369.9750756862213,-110.52286915090998,-0.30778345287625275,2781.5245666503906
PHARMACEUTICALS,8.83118117491341,15.852420194791504,184.09079134457428,248.85795265106574,-64.76716130649142,-0.258349722264191,29487.042356582642
RAILROADS,8.08598380970615,16.288955842277588,153.15228507031355,214.34957744314195,-61.19729237282837,-0.28451078819927167,11201.949727087249
REFINING,8.478522148686464,14.501911028268255,274.3265137091684,433.6292510804449,-159.3027373712765,-0.3649508795470595,6878.534294042969
RESTAURANTS,8.0,16.79039580678438,145.18274688134844,209.46129215873844,-64.27854527738995,-0.3028002821670455,4003.247158050537
RETAILERS,9.049560446652952,14.939527555089045,272.87266865666686,356.38370394869037,-83.51103529202354,-0.2423840227415058,5323.605103894044
RETAIL_REITS,8.0,16.7495174407959,190.97579956054688,212.68060302734375,-21.704803466796875,-0.10205352306365967,478.4483337402344
SOVEREIGN,9.000513671855405,14.879585146136844,251.1593739331349,358.91646931252654,-107.75709537939156,-0.2968749842196819,39483.38411073765
SUPERMARKETS,9.0,15.731983167373633,157.9266286638054,203.57215078788576,-45.64552212408036,-0.22423000297439136,869.1299781799316
TECHNOLOGY,8.962570639912423,13.810759435635036,349.85322390483896,465.5789419239654,-115.7257180191264,-0.2382073588662383,4658.238368988037
TOBACCO,9.0,15.669847535786012,174.48597423103269,249.66694754286175,-75.18097331182908,-0.3046844095061855,4648.723175048828
TRANSPORTATION_SERVICES,8.771266547204188,16.283748015087728,171.6002667731955,240.60862489644646,-69.00835812325097,-0.28757884297726577,5004.913497924805
WIRELESS,8.0,15.781423310361193,197.50295189304344,288.0765645522557,-90.57361265921232,-0.3133787867911734,3746.505886077881
WIRELINES,8.296805145235616,15.403137967865185,197.41367473777598,293.768709528317,-96.35503479054104,-0.3289037030396124,44441.06764441292
INDEX,8.770654055169974,15.008669069109052,247.6980717675962,348.1915965049057,-100.49352473730947,-0.2770613358043062,399437.7650419812
