,Close*OAS,Close*Price,Daily*OAS,Daily*Price,WTD*OAS,WTD*Price,MTD*OAS,MTD*Price,YTD*OAS,YTD*Price,OAD,YTD*XSRet,Mkt*Cap,6m*Min,6m*Max,6m*%tile,color
US Stats Index,164.26240723958838,120.60625241771346,-1.886232056579729,-0.0069874548844239825,-1.886232056579729,-0.0069874548844239825,-2.080616495996935,-1.3293622013682551,-32.63812514476456,16.740439014053948,14.135887344166038,705.8606859428962,1.0,152.36115694729105,179.53787864198202,39.682539682539684,
AAA,82.07257116597933,119.97690293848808,-1.1902946240942356,0.023262548902266644,-1.1902946240942356,0.023262548902266644,-2.599972840365396,-1.439481832770241,-12.249638859415342,15.093453076010277,15.790565958768061,333.0152687712773,0.03256986287224893,74.56660446698046,89.6397986564575,38.095238095238095,
AA,103.45550602607793,127.412165101585,-1.2097179381100034,-0.09036989031687881,-1.2097179381100034,-0.09036989031687881,-1.451478055360269,-1.7081611935555543,-16.651564428293568,15.859315530235705,14.714605155491384,379.68093942133186,0.0931949468320717,95.46860486296833,109.72516452755787,49.2063492063492,
A,125.82418401096861,122.82514648015098,-1.6625794292657474,-0.04389777535938322,-1.6625794292657474,-0.04389777535938322,-3.3359254220766417,-1.299634336286644,-27.629624545822466,16.69296308947061,14.581953767066887,565.4103472433692,0.3601456178509728,116.3143218534457,140.02945624282626,34.92063492063492,
BBB,207.4311930524649,117.85721523644136,-2.2401464588767226,0.034255297110391325,-2.2401464588767226,0.034255297110391325,-1.5475476351640793,-1.2547382097318405,-41.99262915176348,17.146798245293894,13.613653256759909,886.8269544677498,0.5140895724447065,193.09174000744073,226.64165390265586,45.23809523809524,
Financials,154.93890052355718,121.37025914746442,-2.348575817081212,0.13431289369029287,-2.348575817081212,0.13431289369029287,-3.557442203191812,-1.077363128772916,-47.37030059867101,18.093270736347534,13.398782030585764,849.7018020714253,0.1418563358691775,143.79757556658112,173.00055141030384,34.12698412698413,
Industrials,161.97907014820538,120.41137742704497,-1.834316170740209,-0.03959464554250758,-1.834316170740209,-0.03959464554250758,-2.3287830778566274,-1.4227634278148145,-31.189471472269872,16.497570817583053,14.284208889863066,660.9669737967128,0.7787962683364764,150.88751136211056,178.0239447532365,38.88888888888889,
ex Energy & M/M,153.5729682310171,120.59499962509484,-1.6661164774269537,-0.03723764717396705,-1.6661164774269537,-0.03723764717396705,-2.7859018085561615,-1.3493121052276535,-30.971225516522537,16.6751666808385,14.45146566842762,660.5278682934724,0.6725847420169047,144.0838700852232,170.7428408723028,34.12698412698413,
Utilities,133.66349164772961,119.96995841119161,-1.2142999166444497,-0.11671925975994668,-1.2142999166444497,-0.11671925975994668,-3.3467279178646265,-1.3002829093634745,-15.703815420099488,15.045101665718803,15.043776286953277,387.34585532231415,0.10550203795546347,124.11271838717651,145.9676795932521,38.88888888888889,
Electric,132.16598688575516,120.39741361860409,-1.2212308376482781,-0.08894787789503766,-1.2212308376482781,-0.08894787789503766,-3.3743342317771976,-1.263076711828134,-15.475547232946184,15.02327718726491,14.972001420975836,380.29100754956244,0.09447971961261815,122.61795253597744,144.22292290762397,38.88888888888889,
Natural Gas,148.35718143279965,115.16941520393783,-1.2090952895593716,-0.24603202500800592,-1.2090952895593716,-0.24603202500800592,-3.1463765788540456,-1.5130854833980436,-20.00913391012753,15.4255450579912,15.690483686948035,490.2353306999108,0.008603568480088497,138.51949908671492,162.48016139430217,43.65079365079365,
Other Utilities,139.89219018777152,120.34864745880645,-0.8713003564232622,-0.7577810245454231,-0.8713003564232622,-0.7577810245454231,-2.837284278383663,-2.026720598518253,-7.408661643347585,14.306207138309972,15.547043627280683,254.51405242902015,0.0024187498627568135,130.64403896339817,155.10979653269843,33.33333333333333,
Basics,206.3248351575517,120.76268309387889,-2.3612746329850722,0.008130127516480457,-2.3612746329850722,0.008130127516480457,-3.55452255881184,-1.1149319432713867,-29.920562446418188,15.442766007973844,13.145197207619193,641.1948075339624,0.035829141037641433,191.39251090777623,229.77603874024433,39.682539682539684,
Metals & Mining,207.7952060621048,125.29279788574337,-2.1586571882747307,-0.20101158345069337,-2.1586571882747307,-0.20101158345069337,-5.053600948475946,-1.0652496956213895,-33.227226790676525,15.644813523616648,12.84720965226324,682.5837561351955,0.01527398866302448,197.7329790399944,242.22381309245634,33.33333333333333,
Capital Goods,156.00667254506573,116.50139292338082,-1.282350292724459,-0.13042324681710227,-1.282350292724459,-0.13042324681710227,-1.4395742586492872,-1.5656798398874656,-46.44875802187741,17.93619634720683,14.340436055424368,886.2242045721414,0.048260794794873954,148.10048323500263,177.08481531184063,16.666666666666664,
Communications,177.38364574953565,121.90486822681365,-2.65917190160647,0.08528942704788278,-2.65917190160647,0.08528942704788278,-4.160408433615686,-1.0663422165263512,-52.56894897246778,18.84139140599858,13.743383415235114,1008.1539160118891,0.1250391241683663,168.99484008529234,203.997984548945,23.809523809523807,
Cable Satellite,184.45929980434488,120.62595755724499,-2.102413608956823,-0.25849566326945705,-2.102413608956823,-0.25849566326945705,-6.749665698784412,-0.9262627554363121,-50.15352511273184,19.05834490755373,13.933177876460444,963.6643168245462,0.030802803263583603,174.58502489758092,211.68962328494501,27.77777777777778,
Media,172.52084529360377,125.19211391709308,-1.132686292018434,-0.12340093635528149,-1.132686292018434,-0.12340093635528149,-2.032878201883676,-1.4254368283576042,-37.696487699128426,17.438623253985355,13.776088363011809,809.4044468704342,0.01959240241051562,167.81227718035103,193.91301810154496,30.158730158730158,
Wirelines/Wireless,175.74016241008272,121.5697973041679,-3.283001189387022,0.28305422188594775,-3.283001189387022,0.28305422188594775,-3.659395858242533,-1.0266842821485511,-58.482817081924765,19.25188814786449,13.656477876536798,1090.6170486483347,0.07464391849426706,166.956284973626,203.68566017811528,21.428571428571427,
Consumer Cyclical,162.4847161413375,118.80856245494299,-2.05981410588484,-0.09172005556121121,-2.05981410588484,-0.09172005556121121,-2.2045794256426916,-1.589555891767347,-30.473041177870755,16.322795291855712,14.46345274860698,624.8908675135744,0.04230284643074293,149.46800862246388,181.4012605110669,38.095238095238095,
Autos,319.3330821508565,109.71782900526472,-4.6609689159299705,0.41906547494430413,-4.6609689159299705,0.41906547494430413,2.723394227338474,-1.6827126966908281,-20.78372695820707,10.908759852391356,11.952532637804774,559.7536120450997,0.007947111421046926,263.8014285999766,340.3912631611601,91.26984126984127,
Retailers,122.19332057095095,122.52433770574892,-1.7389846241042761,-0.230645552224928,-1.7389846241042761,-0.230645552224928,-3.308085923347477,-1.6449065713390496,-30.153054982395574,17.374130393505865,14.919474533084681,609.7637477965811,0.023553174485645173,114.22328727209934,143.30526337655567,24.6031746031746,
