,Close*OAS,Close*Price,Daily*OAS,Daily*Price,WTD*OAS,WTD*Price,MTD*OAS,MTD*Price,YTD*OAS,YTD*Price,OAD,YTD*XSRet,Mkt*Cap,6m*Min,6m*Max,6m*%tile,color
US Stats Index,166.0920864011015,120.60649226313714,-4.72375963979232,-0.5928949673086095,-6.0535328155150125,-2.636402357314836,-0.19438443941720607,-1.3223747464838311,-30.75189308818483,16.74742646893837,14.127820659742724,660.2906283233478,1.0,152.30460405222445,179.48132574691542,53.54330708661418,blue
AAA,82.28928459332441,119.67703169644717,-3.116359479549317,-0.8836088937846682,-3.918607538113122,-3.3416402546658333,-1.4096782162711605,-1.4627443816725076,-11.059344235321106,15.07019052710801,15.719725839017897,294.66390250193484,0.0329782303346591,73.59302327023131,88.66621745970835,47.24409448818898,blue
AA,104.69028258821744,127.54044092635336,-2.7789764998902626,-0.991493714331753,-3.331195248250836,-3.4286973814904087,-0.2417601172502657,-1.6177913032386897,-15.441846490183565,15.949685420552584,14.722286196977755,345.3641751842307,0.09321739779304468,95.49366348699785,109.75022315158738,62.20472440944882,blue
A,127.48676344023436,122.86904425551036,-4.358843941397325,-0.6668284325679394,-5.749569591728985,-2.8033952576448655,-1.6733459928108942,-1.2557365609272608,-25.96704511655672,16.736860864829993,14.577827168048284,523.3898251783686,0.3601671222972424,116.3143218534457,140.02945624282626,41.732283464566926,blue
BBB,209.6713395113416,117.82295993933097,-5.547752862459646,-0.44233169871760936,-7.108373043182354,-2.3153367212509153,0.6925988237126433,-1.2889935068422318,-39.75248269288676,17.112542948183503,13.602176743795079,836.1009695295762,0.5136372495750539,193.09174000744073,226.64165390265586,59.84251968503938,blue
Financials,157.2874763406384,121.23594625377413,-5.4241779780587365,-0.4858417485986024,-6.3583511505424894,-2.5416724545738134,-1.2088663861106,-1.2116760224632088,-45.021724781589796,17.95895784265724,13.399082836485505,799.7932792243279,0.14154531795208575,143.79757556658112,173.00055141030384,46.45669291338583,blue
Industrials,163.82606262470034,120.45434977566543,-4.616497458596655,-0.6044609369465377,-5.654129729029677,-2.7056335258274515,-0.4944669071164185,-1.3831687822723069,-29.355155301529663,16.53716546312556,14.27552310534698,616.1280827979132,0.7787732012109011,150.9001876678653,178.03662105899124,45.66929133858268,blue
ex Energy & M/M,155.2521384297699,120.63618288281596,-4.378704577546358,-0.645371944011103,-5.848715177044596,-2.7129162706560095,-1.1197853311292079,-1.3120744580536865,-29.305109039095584,16.712404328012468,14.446678444324888,617.7193600496622,0.6725541749718494,144.09692380654906,170.75589459362865,40.15748031496063,blue
Utilities,134.87779156437406,120.08667767095156,-3.6630276207006034,-0.7618743715332101,-4.7697205850292335,-2.945325996388874,-2.132428001220177,-1.1835636496035278,-14.489515503455038,15.16182092547875,15.041379604995653,351.11943135228915,0.10556388280621554,124.11271838717651,145.9676795932521,43.30708661417323,blue
Electric,133.38721772340344,120.48636149649913,-3.6418111245211264,-0.766390564459158,-4.7720642229651276,-2.9401350357025393,-2.1531033941289195,-1.1741288339330964,-14.254316395297906,15.112225065159947,14.971625662118429,343.89469645374817,0.0945160397767802,122.61795253597744,144.22292290762397,43.30708661417323,blue
