TradeDate,0M,1M,2M,3M,6M,9M,1Y,15M,18M,2Y,30M,3Y,42M,4Y,5Y,7Y,10Y,12Y,15Y,20Y,25Y,30Y,40Y,50Y,60Y,80Y,100Y
2019-01-02,0.00339575847703,0.00339575847703,0.00349848600937,0.0036341587821,0.00426091022849,0.00509888378295,0.00601014494723,0.00685140816198,0.00766873456323,0.00906926734774,0.0102802904016,0.0114604510424,0.0125849898196,0.0136443769265,0.0155185860335,0.0183644334444,0.0212714177651,0.022777343662,0.0245374856939,0.0263379936479,0.0274892405878,0.0283520745219,0.0283521520455,0.028352229569,0.0283523037038,0.028352400457,0.0283524199681
2019-01-03,0.002991203845,0.002991203845,0.00310509696582,0.00325254528008,0.00392264610026,0.00482999964964,0.00584340755867,0.00679438212415,0.0077184325876,0.00927301224677,0.0105946854486,0.0118566972741,0.0130296625025,0.014109461303,0.0159695809811,0.0187506074285,0.0216028904618,0.023092747355,0.0248413892867,0.0266355287992,0.0277719818906,0.0286330205072,0.0286330879527,0.0286331553982,0.0286332198955,0.0286333040707,0.0286333210454
2019-01-04,0.00321579436995,0.00321579436995,0.00331688533177,0.00344470728845,0.00401444388608,0.00479715711569,0.00570081482157,0.00657507617185,0.00744403253367,0.00894589022036,0.010237394387,0.0114653166944,0.0126154718518,0.0136859153789,0.0155584966562,0.0183871589964,0.0212683790351,0.0227593572148,0.0245051922552,0.0263089692007,0.0274854243834,0.0283337887621,0.0283338474397,0.0283339061173,0.0283339622299,0.0283340354624,0.0283340502303
2019-01-07,0.00317557052034,0.00317557052034,0.00327446632296,0.00339853848353,0.00394684571279,0.00470230081587,0.00558269478426,0.00644149704693,0.00730010556852,0.00879334104945,0.0100725437447,0.0112669196362,0.0123703262919,0.0133837557007,0.0151194033171,0.0177206025877,0.0204263548846,0.021862386545,0.0235553950586,0.0253422150547,0.0265406431244,0.027298161631,0.0272982126805,0.02729826373,0.027298312548,0.0272983762602,0.0272983891084
2019-01-08,0.00363320761259,0.00363320761259,0.00372813683079,0.00385083484079,0.00440556630448,0.00515333794211,0.00599288501905,0.0067906702206,0.00757704502334,0.00892865657386,0.0100802074597,0.0111555665211,0.0121542937331,0.013081392785,0.0147079490384,0.0172383638446,0.0199281136863,0.0213705851073,0.0230531075502,0.0247974678087,0.0259591562374,0.0266333229951,0.0266333674081,0.0266334118212,0.0266334542928,0.0266335097225,0.0266335209004
2019-01-09,0.00330445349239,0.00330445349239,0.00340018845274,0.003526743013,0.00410830762982,0.00487937723673,0.00572159791344,0.00650889801911,0.00728242071627,0.00862890637659,0.00979551783375,0.01088339129,0.0119025642994,0.0128584941161,0.0145600586343,0.0172044310587,0.0199582353172,0.0214063755874,0.0230921480781,0.0248415048575,0.0260216796678,0.0267092118504,0.0267092504898,0.0267092891292,0.0267093260795,0.0267093743033,0.026709384028
2019-01-10,0.00260204665009,0.00260204665009,0.0026779936389,0.00278531497497,0.00330599677567,0.00399434285596,0.00471811044193,0.00536942211191,0.00599636202376,0.00711189376809,0.0081445220314,0.00916829898213,0.0102370791925,0.0113408920033,0.0135086845976,0.0171249267484,0.0208386687155,0.0227167051667,0.0248019728616,0.0267387625446,0.0279142332893,0.0287768877078,0.0287769213241,0.0287769549403,0.0287769870871,0.0287770290418,0.0287770375024
2019-01-11,0.00187576890668,0.00187576890668,0.00194954534186,0.00205635423154,0.00258270096331,0.00327037150148,0.00397756558958,0.00460235296653,0.00519969283141,0.00627846126243,0.00731124421472,0.00830740425168,0.00930914400821,0.010331596634,0.0123592979838,0.0159395548726,0.0199301740167,0.0220923167293,0.0245357340242,0.0268979278008,0.0283615997643,0.0294239126759,0.0294239419221,0.0294239711682,0.0294239991359,0.0294240356365,0.0294240429971
2019-01-14,0.00216523981017,0.00216523981017,0.00224097957215,0.0023516176848,0.00289759200665,0.00359903972883,0.00430696518824,0.00492501568565,0.00551242310244,0.00656194124908,0.00755080177269,0.00850008797919,0.00945037643765,0.0104180030005,0.0123407194957,0.0157971528278,0.0197501632537,0.0219347672541,0.0244501049809,0.0269914970981,0.0286332306698,0.0298469035158,0.02984692896,0.0298469544041,0.029846978736,0.0298470104915,0.0298470168953
2019-01-15,0.00177179854788,0.00177179854788,0.00184761597135,0.00195873062273,0.00250696960521,0.00320601534851,0.00390905660431,0.00452538816129,0.00511807526619,0.00619625963915,0.00722841516116,0.00822709414369,0.00920624476927,0.0101837296979,0.0121118847613,0.0155799981472,0.0195680863719,0.0217840691869,0.0243495577034,0.0269706049774,0.0286742276322,0.0299363587733,0.0299363809097,0.0299364030461,0.0299364242148,0.0299364518421,0.0299364574134
2019-01-16,0.00173103602511,0.00173103602511,0.00181179094581,0.00193011117194,0.00251132421181,0.00324429903926,0.00397545830725,0.00461232273198,0.00522082817416,0.0063132728267,0.00734402351685,0.00833401469473,0.009295896887,0.010250609456,0.0121323593954,0.0155200166406,0.0194312277313,0.0216128746143,0.0241542349775,0.0267875123953,0.0285242455993,0.0297927384323,0.0297927576909,0.0297927769496,0.0297927953664,0.0297928194022,0.0297928242492
2019-01-17,0.00182342724132,0.00182342724132,0.00190532810851,0.00202615180156,0.00261963773371,0.00335600417154,0.00407825904988,0.00470148988722,0.00529588133731,0.00636333799491,0.00737175298419,0.00834461138455,0.00928956486342,0.0102235888549,0.0120658580802,0.0153963153746,0.0192488422353,0.0213999698497,0.0239028630405,0.0264903175805,0.0281960816703,0.029400570951,0.029400587706,0.0294006044611,0.0294006204837,0.0294006413948,0.0294006456117
