TradeDate,1D,5D,2W,3W,1M,2M,3M,6M,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,11Y,12Y,13Y,14Y,15Y,16Y,17Y,18Y,19Y,20Y,21Y,22Y,23Y,24Y,25Y,26Y,27Y,28Y,29Y,30Y,31Y,32Y,33Y,34Y,35Y,36Y,37Y,38Y,39Y,40Y
16-Jan-19,0.02534635,0.02488291,0.02473376,0.02497914,0.0253063,0.02667022,0.02731368,0.02699605,0.02718546,0.02676592,0.02623721,0.02605453,0.02610496,0.02629963,0.02654732,0.02683986,0.02714593,0.0274499,0.02770895,0.02796785,0.02812621,0.02828321,0.02844021,0.02849747,0.02855416,0.02861086,0.02866756,0.02872425,0.02872092,0.02871725,0.02871358,0.02870991,0.02870624,0.02868751,0.02866866,0.0286498,0.02863095,0.0286121,0.0285608,0.02850923,0.02845767,0.0284061,0.02835454,0.02830297,0.02825141,0.02819985,0.02814828,0.02809672
17-Jan-19,0.02483943,0.02487753,0.02465397,0.02485567,0.0251246,0.02632389,0.02677171,0.02692801,0.02723681,0.02695181,0.02648441,0.02630327,0.02635253,0.02653663,0.02677013,0.02704754,0.02733593,0.02763789,0.02788842,0.02813842,0.02828742,0.02843501,0.0285826,0.02863802,0.0286919,0.02874578,0.02879966,0.02885355,0.02884639,0.02883804,0.0288297,0.02882135,0.02881301,0.02879216,0.02877113,0.02875011,0.02872908,0.02870806,0.02865642,0.02860434,0.02855226,0.02850018,0.02844811,0.02839603,0.02834395,0.02829188,0.0282398,0.02818772
18-Jan-19,0.02463417,0.02467404,0.02456775,0.02477812,0.02505862,0.0261539,0.02663609,0.02692481,0.02740688,0.02732472,0.02693512,0.02676998,0.02681357,0.0269926,0.02720999,0.02746955,0.02775561,0.02804046,0.02828572,0.02853064,0.02868217,0.0288324,0.02898263,0.02903422,0.02908446,0.02913471,0.02918495,0.02923519,0.02923061,0.0292251,0.02921958,0.02921407,0.02920855,0.02918621,0.02916355,0.02914088,0.02911821,0.02909555,0.02904554,0.02899499,0.02894443,0.02889388,0.02884333,0.02879277,0.02874222,0.02869167,0.02864111,0.02859056
22-Jan-19,0.0257982,0.0250397,0.02479991,0.02504715,0.02537679,0.02652077,0.02684503,0.02700438,0.02729947,0.02696918,0.0264998,0.02630645,0.02635757,0.02652709,0.0267543,0.02701698,0.02730319,0.02758687,0.02783746,0.02808793,0.02824038,0.0283923,0.02854421,0.02859873,0.02865269,0.02870664,0.0287606,0.02881455,0.02880921,0.02880356,0.02879791,0.02879226,0.02878661,0.02876558,0.02874441,0.02872325,0.02870209,0.02868093,0.0286325,0.02858384,0.02853518,0.02848652,0.02843786,0.02838921,0.02834055,0.02829189,0.02824323,0.02819457
23-Jan-19,0.02483943,0.02473694,0.02473236,0.02497534,0.0252993,0.02639991,0.02672,0.02696409,0.0273192,0.02702177,0.02653563,0.02633801,0.02638454,0.02656358,0.02680401,0.027067,0.02735225,0.02764719,0.02790266,0.02815797,0.02831136,0.02846358,0.02861581,0.02866896,0.02872158,0.02877421,0.02882683,0.02887946,0.02887678,0.02887381,0.02887083,0.02886786,0.02886489,0.0288422,0.0288194,0.02879661,0.02877382,0.02875102,0.02870477,0.02865838,0.028612,0.02856562,0.02851924,0.02847285,0.02842647,0.02838009,0.02833371,0.02828733
24-Jan-19,0.02433255,0.02468511,0.02462161,0.02483781,0.02512608,0.02619622,0.02656767,0.02685808,0.0271862,0.0267886,0.02623889,0.02601134,0.02604674,0.02622763,0.02646762,0.02674049,0.02702575,0.02733072,0.02758764,0.02784405,0.02800249,0.02815985,0.02831721,0.02837766,0.02843651,0.02849535,0.02855419,0.02861304,0.0286092,0.02860465,0.0286001,0.02859555,0.02859101,0.02857281,0.02855446,0.02853611,0.02851776,0.02849941,0.02845372,0.02840773,0.02836174,0.02831575,0.02826975,0.02822376,0.02817777,0.02813177,0.02808578,0.02803979
25-Jan-19,0.02463505,0.02466747,0.02458053,0.02481497,0.02512755,0.02638574,0.0267291,0.02688295,0.0272734,0.02703295,0.02653363,0.02633344,0.0263862,0.02656409,0.02679132,0.02706281,0.02734532,0.02764137,0.02789729,0.02815289,0.02830336,0.02845266,0.02860196,0.02865945,0.02871567,0.0287719,0.02882813,0.02888436,0.02887948,0.02887358,0.02886769,0.0288618,0.0288559,0.02883619,0.02881633,0.02879648,0.02877662,0.02875676,0.02870975,0.02866245,0.02861515,0.02856785,0.02852055,0.02847325,0.02842595,0.02837865,0.02833135,0.02828404
28-Jan-19,0.02504221,0.02475839,0.02469952,0.02495317,0.02529137,0.02655151,0.02678631,0.02687789,0.02720765,0.02695584,0.02647597,0.02627166,0.02633024,0.02650304,0.02671965,0.02698683,0.02726937,0.02756442,0.02782589,0.02808722,0.02824707,0.02840635,0.02856563,0.02862572,0.02868528,0.02874485,0.02880441,0.02886398,0.02885966,0.0288548,0.02884993,0.02884507,0.02884021,0.02882449,0.02880875,0.02879301,0.02877727,0.02876153,0.0287136,0.02866558,0.02861757,0.02856955,0.02852153,0.02847352,0.0284255,0.02837749,0.02832947,0.02828146
29-Jan-19,0.02483943,0.02473533,0.02472804,0.02497051,0.02529545,0.02643066,0.02667723,0.02681066,0.02711077,0.02671032,0.02616276,0.0259506,0.02599457,0.02617309,0.02639101,0.02666391,0.02695745,0.02725143,0.02751267,0.02777379,0.02793549,0.02809661,0.02825774,0.02831791,0.02837752,0.02843712,0.02849673,0.02855634,0.02855593,0.02855521,0.02855449,0.02855377,0.02855305,0.02853567,0.02851829,0.02850092,0.02848354,0.02846615,0.0284197,0.02837325,0.0283268,0.02828034,0.02823389,0.02818744,0.02814099,0.02809454,0.02804809,0.02800164
30-Jan-19,0.02433255,0.02470417,0.02474779,0.02502443,0.02538753,0.02621021,0.02645563,0.0266564,0.02684478,0.02626064,0.02568986,0.02550656,0.02560421,0.02582402,0.02608469,0.02638973,0.02670675,0.02702222,0.02730477,0.02758719,0.02775688,0.02792533,0.02809377,0.02816322,0.02823211,0.02830101,0.0283699,0.02843879,0.02844023,0.02844132,0.02844241,0.0284435,0.02844458,0.02842955,0.02841442,0.0283993,0.02838418,0.02836905,0.0283209,0.02827255,0.02822421,0.02817586,0.02812752,0.02807918,0.02803083,0.02798249,0.02793414,0.0278858
31-Jan-19,0.02483943,0.02479888,0.02468856,0.0249609,0.02532401,0.0261324,0.02637339,0.02649392,0.02647155,0.02575023,0.02516127,0.02494776,0.02502363,0.02523489,0.02550032,0.02579877,0.02612654,0.02645187,0.02674697,0.0270418,0.02722601,0.02740901,0.02759202,0.02766734,0.02774085,0.02781437,0.02788788,0.0279614,0.02797096,0.02797983,0.0279887,0.02799756,0.02800643,0.02799543,0.02798421,0.02797299,0.02796177,0.02795055,0.02790572,0.02786052,0.02781532,0.02777012,0.02772493,0.02767973,0.02763453,0.02758933,0.02754413,0.02749893
1-Feb-19,0.02524319,0.02507922,0.02478712,0.02503533,0.02536627,0.02617892,0.02643628,0.02658331,0.02669722,0.02623849,0.02580308,0.0256467,0.0257369,0.02593599,0.02617383,0.02645581,0.02675427,0.02706076,0.02733309,0.02760516,0.02776867,0.02793101,0.02809335,0.02816267,0.02823069,0.0282987,0.02836672,0.02843474,0.0284346,0.02843333,0.02843207,0.0284308,0.02842954,0.02841499,0.02840029,0.0283856,0.0283709,0.0283562,0.02831023,0.02826391,0.0282176,0.02817128,0.02812496,0.02807864,0.02803232,0.027986,0.02793968,0.02789337
